node_id,lat,lon
N65,35.771063282898446,-78.67507309197882
N66,35.77107641452774,-78.67504072251342
N67,35.77109358665508,-78.67503076267792
N68,35.77111277902831,-78.67501208798633
N69,35.771133991645954,-78.67500212815084
N70,35.77115015363655,-78.67498469843869
N71,35.77117742698825,-78.67497349362375
N72,35.77118752822723,-78.67495606391162
N73,35.77121278131913,-78.67493863419948
N74,35.77123298378683,-78.6749299193434
N75,35.77124207489564,-78.6749099996724
N76,35.77126429760168,-78.67489505991914
N77,35.771284500056325,-78.67487638522755
N78,35.77130571262817,-78.67486891535093
N79,35.77131783409526,-78.6748552205771
N80,35.771338036536285,-78.67483779086498
N81,35.77135520860714,-78.67481787119397
N82,35.77137541103868,-78.67481289127622
N83,35.77139460334387,-78.6747929716052
N84,35.77141581588636,-78.6747805218108
N85,35.77143399806112,-78.67476309209867
N86,35.77145521059309,-78.67474566238654
N87,35.77146834215768,-78.67473321259216
N88,35.771485514200386,-78.67471702785946
N89,35.77150672671862,-78.67470457806508
EB1,35.771525918992126,-78.67469088329126
N91,35.77154208090309,-78.67467345357912
N92,35.77155824281076,-78.6746597588053
N93,35.77158753626002,-78.67464855399035
N94,35.77159662732829,-78.6746311242782
N95,35.77162087017193,-78.67461991946327
N96,35.7716370320636,-78.67459626485395
N97,35.771652183834036,-78.67458257008012
N98,35.77166834571934,-78.67455144559418
N99,35.77167945701356,-78.67453401588203
N100,35.7716895581888,-78.67450787131382
N101,35.77169561889332,-78.6744842167045
N102,35.77170167959736,-78.67445433719799
N103,35.77170572006648,-78.6744294376092
N104,35.771714811121235,-78.674403293041
N105,35.77171582123838,-78.67437839345224
N106,35.77172390217498,-78.67434726896629
N107,35.77172188194089,-78.67432112439808
N108,35.77171986170678,-78.67429746978875
N109,35.771710770652575,-78.67427008024112
N110,35.77170572006648,-78.67421654612527
N111,35.77168450760134,-78.67419413649537
N112,35.77168147724871,-78.67416425698885
N113,35.77166834571934,-78.67414558229729
N114,35.77166834571934,-78.67414558229729
EB2,35.771661274894925,-78.67408582328424
N116,35.77162938596182,-78.67407466142762
N117,35.7716122919924,-78.67406349824145
N118,35.77160285503583,-78.67404887595582
N119,35.77159026122898,-78.67402710601658
N120,35.77157380533554,-78.67401345319725
N121,35.771562051124235,-78.67400370118328
N122,35.771543479462174,-78.67398300970277
N123,35.77152769523424,-78.67397368792496
N124,35.77150304496727,-78.67396002936893
N125,35.77148554797157,-78.67394626755502
N126,35.7714700324029,-78.6739386781931
N127,35.77144565078944,-78.67392675205237
N128,35.771421940842366,-78.67391915695322
N129,35.77140370500068,-78.67391383923605
N130,35.77138261455781,-78.67390992695586
N131,35.7713628338677,-78.67390785608522
N132,35.77133576554668,-78.67390502226138
N133,35.77131860436256,-78.67390663420989
N134,35.7713010401704,-78.67390564753256
N135,35.77128243488404,-78.67390455186151
N136,35.77125761663685,-78.67390962290423
N137,35.771233436467845,-78.67391220431402
N138,35.771220204540704,-78.67391934049104
N139,35.77120462175897,-78.67392452626396
N140,35.77118605003364,-78.67393025126458
EB3,35.77116606779278,-78.67394008932001
N142,35.77114889711201,-78.67394802540258
N143,35.77113923860245,-78.67398373777414
N144,35.77112421425189,-78.67399960993927
N145,35.771109189898525,-78.6740194501457
N146,35.771076994846,-78.67401680478484
N147,35.77105982414599,-78.67403532231084
N148,35.77104050710403,-78.67405383983684
N149,35.77101904371861,-78.6740657439607
N150,35.7710104583628,-78.67407368004325
N151,35.77099006813907,-78.67409219756925
N152,35.77096431205952,-78.67410939241482
N153,35.770952507186934,-78.67412790994082
N154,35.77092997060715,-78.67413716870381
N155,35.77091065353366,-78.6741503955081
N156,35.77089455596884,-78.67417684911666
N157,35.77088060474335,-78.67418213983836
N158,35.77086128765787,-78.6741980120035
N159,35.770844116911306,-78.67420859344695
N160,35.77082479981698,-78.67423107901422
N161,35.77080440954564,-78.67424430581849
N162,35.77078509244164,-78.67425753262278
N163,35.7707668485058,-78.67427208210749
N164,35.77075075091189,-78.67428795427263
N165,35.77072284840802,-78.6743051491182
N166,35.77070675080518,-78.67431837592247
N167,35.77070245811055,-78.67432102128333
N168,35.77069387272057,-78.67433160272677
N169,35.770672409241584,-78.67434482953105
N170,35.770653092105555,-78.67436466973746
N171,35.77063484813941,-78.67437525118088
N172,35.77061660416911,-78.67438980066561
N173,35.770599433358406,-78.67440170478947
N174,35.77057689667854,-78.67441096355248
N175,35.770561872221776,-78.67442419035676
N176,35.770546847762155,-78.67443741716104
N177,35.77052216471517,-78.67445858004788
N178,35.77050499389537,-78.67447577489345
N179,35.77048245718877,-78.67448635633687
N180,35.77046421318349,-78.67450222850202
N181,35.77043953011088,-78.67451810066716
N182,35.770428798337775,-78.67452603674971
N183,35.77041162749783,-78.67454984499743
N184,35.77038909076476,-78.67456307180171
N185,35.7703697735599,-78.67456968520385
N186,35.77035474906397,-78.67458423468857
N187,35.770339724565225,-78.67461994706014
N188,35.77031504145398,-78.67461597901885
N189,35.77029894376859,-78.67463581922526
N190,35.77028069972122,-78.67464375530784
N191,35.770259236130734,-78.6746702089164
N192,35.77024421161394,-78.67467682231855
N193,35.770228113914214,-78.67469269448367
N194,35.77020665030953,-78.67471121200967
N195,35.770188406241,-78.6747270841748
N196,35.77017016216826,-78.67473237489652
N197,35.77015406445354,-78.67475221510296
N198,35.770128308103246,-78.67476940994851
N199,35.77011328356172,-78.67477866871151
N200,35.77009181992605,-78.67479321819621
N201,35.77007250264898,-78.67479983159836
N202,35.7700585512793,-78.6748249625265
Oval,35.77003601444616,-78.67483554396992
N204,35.77001777033849,-78.67485273881549
N205,35.77000167259293,-78.67487125634149
N206,35.77000167259293,-78.6749003553109
N207,35.76999630667702,-78.67493209964118
N208,35.76999630667702,-78.67494797180632
N209,35.76999094076075,-78.67497971613659
N210,35.76999308712731,-78.67500881510601
N211,35.76998986757745,-78.67503526871458
N212,35.76998879439416,-78.67505907696228
N213,35.76998342847738,-78.67508553057085
N214,35.76997913574369,-78.67511462954027
N215,35.76998020892714,-78.67514637387055
N216,35.76997806256024,-78.6751675367574
N217,35.769976989376765,-78.6751913450051
N218,35.76997484300977,-78.67522308933539
N219,35.76997055027562,-78.6752468975831
N220,35.76997055027562,-78.67527467387208
N221,35.769967330724874,-78.67531170892407
N222,35.76996518435762,-78.67533551717179
N223,35.76995767207181,-78.67535668005863
N224,35.76995767207181,-78.67538181098678
N225,35.769955525704304,-78.67541884603875
N226,35.76995123296911,-78.67544133160604
N227,35.769946940233694,-78.67547043057546
N228,35.76994586704979,-78.67549423882316
N229,35.76994372068198,-78.67552333779258
N230,35.76993728157814,-78.67555508212287
N231,35.76993728157814,-78.67557492232929
N232,35.76994050113014,-78.67560534397913
N233,35.76993406202604,-78.6756225388247
N234,35.7699319156579,-78.67565957387669
N235,35.76992547655311,-78.67568602748526
N236,35.76992225700053,-78.67571380377424
N237,35.76992225700053,-78.67573628934153
N238,35.76992011063206,-78.67576406563052
N239,35.76991903744783,-78.67579051923909
N240,35.76991474471065,-78.67581829552807
N241,35.76991474471065,-78.67585003985835
N242,35.76990937878888,-78.67587649346692
N243,35.769912598341996,-78.67590030171462
N244,35.769908305604496,-78.67593336872531
N245,35.7699050860512,-78.67595453161218
