timestamp,image_name,swift_latitude,swift_longitude,swift_heading,zed_x,zed_y,zed_yaw,gps_latitude,gps_longitude,gps_track
2024-08-16-08:48:40,2024-08-16-08:48:40.jpg,35.77130655459691,-78.67487755517648,216.64253463485343,-25.958165220039916,-87.4389612369772,-3.881123800724386,35.7713145,-78.67485016666666,213.6999969482422
2024-08-16-08:48:42,2024-08-16-08:48:42.jpg,35.771286054678896,-78.67489669350162,213.96267674912747,-23.850317097542252,-89.3244621878675,-2.5713511727277596,35.77129166666667,-78.67486683333333,215.5399932861328
2024-08-16-08:48:44,2024-08-16-08:48:44.jpg,35.77126414290459,-78.67491204656044,212.65080229659554,-21.727507659988454,-91.07461293700047,-0.8233563844053686,35.77127766666667,-78.67489216666667,214.0800018310547
2024-08-16-08:48:46,2024-08-16-08:48:46.jpg,35.77124325246697,-78.67492968455214,209.38790286620994,-19.478723665758512,-92.87099571472704,-3.0473104092947945,35.77125916666667,-78.67491016666666,213.83999633789062
2024-08-16-08:48:48,2024-08-16-08:48:48.jpg,35.77121782425491,-78.67494484864613,210.62841717001103,-17.345214818768547,-94.89054627687318,-4.8683237329407865,35.77123816666666,-78.67493183333333,214.16000366210938
2024-08-16-08:48:50,2024-08-16-08:48:50.jpg,35.77119781580999,-78.67496138620264,200.10943413831163,-15.308161804404673,-96.7116327428421,-2.320974632594961,35.771217,-78.674946,212.11000061035156
2024-08-16-08:48:52,2024-08-16-08:48:52.jpg,35.77117800056901,-78.67497951368603,203.27144261414284,-13.293427920633082,-98.52787539421976,-2.314972418448205,35.771197666666666,-78.67496333333334,211.6699981689453
2024-08-16-08:48:55,2024-08-16-08:48:55.jpg,35.77115344042886,-78.67500191692807,215.7724407854297,-10.87251359572903,-100.61349407795977,-2.8060521568532697,35.771166,-78.67498783333333,208.6199951171875
2024-08-16-08:48:57,2024-08-16-08:48:57.jpg,35.771132391972664,-78.67502222550112,215.4550357325781,-8.64704678881503,-102.55301836078515,-2.6500467639380916,35.7711405,-78.67498900000001,nan
2024-08-16-08:48:59,2024-08-16-08:48:59.jpg,35.77110971705641,-78.67503681466515,219.5915095682023,-6.319632513818817,-104.51195526594373,-3.5706839386361193,35.77112366666667,-78.67500633333334,204.83999633789062
2024-08-16-08:49:01,2024-08-16-08:49:01.jpg,35.77108785027769,-78.67504549750507,211.9306821037178,-4.254798103668185,-106.42663092845677,-1.6314361281502996,35.771102166666665,-78.67502266666666,206.17999267578125
2024-08-16-08:49:03,2024-08-16-08:49:03.jpg,35.7710701323319,-78.67506432973089,185.38615465461558,-2.1459432261565334,-108.2643874023614,-5.3702952675916995,35.771082166666666,-78.67504233333334,209.42999267578125
2024-08-16-08:49:05,2024-08-16-08:49:05.jpg,35.77104973681712,-78.6750903998347,226.9300017923623,0.07067899520567852,-110.42987331549857,-0.13114214192324158,35.77105983333333,-78.67505750000001,nan
2024-08-16-08:49:07,2024-08-16-08:49:07.jpg,35.77102659546536,-78.6751028714805,208.89960383071366,2.0939869250525094,-112.21992902256378,-1.422622058986143,35.771040500000005,-78.67507016666667,nan
2024-08-16-08:49:09,2024-08-16-08:49:09.jpg,35.77100424440698,-78.67512274582548,213.34970056246235,4.231584184276798,-114.01182872127058,-1.4323741080326071,35.77101666666667,-78.6750735,201.75
2024-08-16-08:49:11,2024-08-16-08:49:11.jpg,35.770980394422814,-78.67513673346146,210.63997370748376,6.543922918846779,-115.98470733317502,-1.5205223310265124,35.77099466666667,-78.67508316666667,198.16000366210938
2024-08-16-08:49:13,2024-08-16-08:49:13.jpg,35.770954176557794,-78.67515281201962,205.0299886583184,9.120229008107094,-117.84929658827659,-0.21586892135668462,35.77097283333333,-78.67509616666666,nan
2024-08-16-08:49:15,2024-08-16-08:49:15.jpg,35.770927701397724,-78.67516735452467,204.79175446151717,11.642872398937147,-119.74414660534053,-1.8111949293796126,35.7709545,-78.6751195,nan
2024-08-16-08:49:17,2024-08-16-08:49:17.jpg,35.770903034047976,-78.67518300920064,215.55128185491932,14.021735288190115,-121.89957966847807,1.0275021670056055,35.770933,-78.67513866666667,210.07000732421875
2024-08-16-08:49:19,2024-08-16-08:49:19.jpg,35.77087741731143,-78.67520353675079,210.28871445202876,16.65292979676763,-124.07900872678101,-4.618238123639162,35.770913166666666,-78.67516466666666,214.57000732421875
2024-08-16-08:49:22,2024-08-16-08:49:22.jpg,35.77085151237106,-78.6752237523953,211.8025272438905,19.23101444228225,-126.28574486554963,-2.4217777534480107,35.770883166666664,-78.6752095,214.02999877929688
