gps_latitude_filtered,gps_longitude_filtered,swift_latitude_filtered,swift_longitude_filtered
35.7708025,-78.67426633,35.77076058,-78.67429173
35.77078217,-78.67429,35.77073979,-78.67431059
35.7707625,-78.67430317,35.77072196,-78.67432265
35.77073883,-78.67431533,35.7706996,-78.67433877
35.77071617,-78.67433083,35.77067913,-78.67435445
35.77069583,-78.67434433,35.77065667,-78.67436876
35.77067817,-78.674364,35.77063402,-78.67438695
35.77065833,-78.6743795,35.7706141,-78.67440713
35.77063967,-78.674396,35.77059757,-78.67442467
35.77062167,-78.67441083,35.77057951,-78.67444101
35.77060267,-78.67442533,35.77056003,-78.67445258
35.7705825,-78.67444017,35.77053845,-78.67446804
35.77054967,-78.67446433,35.77051578,-78.67448411
35.77052183,-78.674485,35.77049074,-78.67450225
35.7704975,-78.674504,35.77046875,-78.67452049
35.7704785,-78.67452117,35.77044575,-78.67453776
35.770456,-78.67452683,35.77042246,-78.67455093
35.77043633,-78.67453733,35.77040061,-78.67456658
35.77041267,-78.674548,35.77037685,-78.67458398
35.77038667,-78.67456067,35.77035676,-78.67459903
35.77036717,-78.674573,35.77033648,-78.67461293
35.770347,-78.67458667,35.77031232,-78.67462731
35.77032467,-78.674609,35.77029146,-78.67464352
35.770306,-78.67462867,35.77027325,-78.67465864
35.77028583,-78.67464533,35.77025223,-78.67467694
35.77026233,-78.67465867,35.77023117,-78.67469542
35.77024517,-78.67467167,35.77020664,-78.67471545
35.770226,-78.6747025,35.77018629,-78.67473288
35.77020617,-78.67472517,35.77016709,-78.67474982
35.770178,-78.674754,35.7701457,-78.67477
35.77015783,-78.67477133,35.77012573,-78.67478849
35.7701365,-78.67479483,35.77010238,-78.67480684
35.77011567,-78.674813,35.77008368,-78.67482492
35.770089,-78.674835,35.77006115,-78.67484601
35.77006733,-78.6748515,35.77003949,-78.6748624
35.7700515,-78.67487017,35.77002311,-78.67488361
35.77004467,-78.67488867,35.77001548,-78.67490648
35.77004117,-78.67490333,35.77000995,-78.67493443
35.77003967,-78.67492167,35.77000603,-78.6749689
35.77003167,-78.67494983,35.77000187,-78.67499435
35.77002533,-78.67496667,35.76999746,-78.67501601
35.7700185,-78.67499017,35.7699965,-78.67504509
35.77001667,-78.67501933,35.76999548,-78.67507788
35.7700145,-78.675052,35.76999266,-78.67511404
35.77001017,-78.675083,35.76998868,-78.67514697
35.77000833,-78.67510933,35.76998613,-78.6751805
35.77000533,-78.675139,35.76998202,-78.67521336
35.7700005,-78.675168,35.76997706,-78.67524048
35.76999983,-78.6751855,35.76997528,-78.67526076
35.76999583,-78.67521683,35.76996972,-78.67529489
35.76998967,-78.67524767,35.76996376,-78.67532356
35.769984,-78.67526833,35.76996165,-78.67534387
35.7699905,-78.67530133,35.7699648,-78.67537254
35.7699915,-78.675324,35.76996601,-78.67539637
35.76999267,-78.6753505,35.76996544,-78.67542509
35.7699925,-78.67537783,35.76996444,-78.67545214
35.76999117,-78.6754045,35.76996193,-78.67548223
35.7699845,-78.67543367,35.7699578,-78.67550927
35.7699795,-78.6754515,35.76995307,-78.67553006
35.76997683,-78.67547283,35.76994838,-78.67555661
35.76997883,-78.67549717,35.76995164,-78.67558244
35.769979,-78.67552867,35.76995211,-78.67561136
35.7699805,-78.67556067,35.76995105,-78.67564309
35.76997967,-78.67558533,35.76994984,-78.67565843
35.769976,-78.67560783,35.76994199,-78.675679
35.769971,-78.67563667,35.76993551,-78.67570773
35.7699665,-78.67566133,35.76992896,-78.67573366
35.76995867,-78.6756885,35.76992287,-78.67575857
35.76995683,-78.67571483,35.76992188,-78.67578482
35.769955,-78.67574367,35.76992305,-78.67581318
35.76996217,-78.67578417,35.76993397,-78.67583691
35.76997017,-78.67580717,35.76994507,-78.67585679
35.769981,-78.67582383,35.76996167,-78.67586586
35.76999333,-78.67583933,35.76997733,-78.67587393
35.77000717,-78.67584517,35.76999559,-78.67587363
