node_id,x_m,y_m,lat,lon
N158,160.863330,114.164166,35.77086129,-78.67419801
N159,159.907598,112.252728,35.77084412,-78.67420859
N160,157.876668,110.102358,35.77082480,-78.67423108
N161,156.682004,107.832524,35.77080441,-78.67424431
N162,155.487339,105.682154,35.77078509,-78.67425753
N163,154.173208,103.651248,35.77076685,-78.67427208
N164,152.739611,101.859272,35.77075075,-78.67428795
N165,151.186547,98.753179,35.77072285,-78.67430515
N166,149.991882,96.961203,35.77070675,-78.67431838
N167,149.752950,96.483342,35.77070246,-78.67432102
N168,148.797218,95.527621,35.77069387,-78.67433160
N169,147.602553,93.138317,35.77067241,-78.67434483
N170,145.810557,90.987943,35.77065309,-78.67436467
N171,144.854825,88.957034,35.77063485,-78.67437525
N172,143.540694,86.926125,35.77061660,-78.67438980
N173,142.465496,85.014679,35.77059943,-78.67440170
N174,141.629231,82.505907,35.77057690,-78.67441096
N175,140.434566,80.833392,35.77056187,-78.67442419
N176,139.239902,79.160877,35.77054685,-78.67443742
N177,137.328438,76.413173,35.77052216,-78.67445858
N178,135.775374,74.501726,35.77050499,-78.67447577
N179,134.819643,71.992951,35.77048246,-78.67448636
N180,133.386045,69.962038,35.77046421,-78.67450223
N181,131.952448,67.214331,35.77043953,-78.67451810
N182,131.235649,66.019675,35.77042880,-78.67452604
N183,129.085253,64.108226,35.77041163,-78.67454984
N184,127.890588,61.599449,35.77038909,-78.67456307
N185,127.293256,59.449067,35.77036977,-78.67456969
N186,125.979125,57.776548,35.77035475,-78.67458423
N187,122.753531,56.104028,35.77033972,-78.67461995
N188,123.111930,53.356317,35.77031504,-78.67461598
N189,121.319933,51.564331,35.77029894,-78.67463582
N190,120.603135,49.533413,35.77028070,-78.67464376
N191,118.213805,47.144097,35.77025924,-78.67467021
N192,117.616473,45.471575,35.77024421,-78.67467682
N193,116.182876,43.679588,35.77022811,-78.67469269
N194,114.510345,41.290270,35.77020665,-78.67471121
N195,113.076748,39.259350,35.77018841,-78.67472708
N196,112.598882,37.228429,35.77017016,-78.67473237
N197,110.806885,35.436439,35.77015406,-78.67475222
N198,109.253821,32.569255,35.77012831,-78.67476941
N199,108.417556,30.896731,35.77011328,-78.67477867
N200,107.103425,28.507410,35.77009182,-78.67479322
N201,106.506093,26.357021,35.77007250,-78.67479983
N202,104.236230,24.803961,35.77005855,-78.67482496
Oval,103.280499,22.295173,35.77003601,-78.67483554
N204,101.727435,20.264248,35.77001777,-78.67485274
N205,100.054904,18.472255,35.77000167,-78.67487126
N206,97.426642,18.472255,35.77000167,-78.67490036
N207,94.559447,17.874924,35.76999631,-78.67493210
N208,93.125850,17.874924,35.76999631,-78.67494797
N209,90.258655,17.277593,35.76999094,-78.67497972
N210,87.630393,17.516525,35.76999309,-78.67500882
N211,85.241064,17.158127,35.76998987,-78.67503527
N212,83.090668,17.038660,35.76998879,-78.67505908
N213,80.701339,16.441329,35.76998343,-78.67508553
N214,78.073077,15.963464,35.76997914,-78.67511463
N215,75.205882,16.082931,35.76998021,-78.67514637
N216,73.294418,15.843998,35.76997806,-78.67516754
N217,71.144022,15.724532,35.76997699,-78.67519135
N218,68.276827,15.485599,35.76997484,-78.67522309
N219,66.126431,15.007734,35.76997055,-78.67524690
N220,63.617636,15.007734,35.76997055,-78.67527467
N221,60.272575,14.649336,35.76996733,-78.67531171
N222,58.122179,14.410403,35.76996518,-78.67533552
N223,56.210715,13.574139,35.76995767,-78.67535668
N224,53.940853,13.574139,35.76995767,-78.67538181
N225,50.595792,13.335207,35.76995553,-78.67541885
N226,48.564862,12.857342,35.76995123,-78.67544133
N227,45.936600,12.379477,35.76994694,-78.67547043
N228,43.786204,12.260010,35.76994587,-78.67549424
N229,41.157942,12.021078,35.76994372,-78.67552334
N230,38.290747,11.304280,35.76993728,-78.67555508
N231,36.498750,11.304280,35.76993728,-78.67557492
N232,33.751022,11.662679,35.76994050,-78.67560534
N233,32.197958,10.945881,35.76993406,-78.67562254
N234,28.852897,10.706948,35.76993192,-78.67565957
N235,26.463568,9.990151,35.76992548,-78.67568603
N236,23.954773,9.631752,35.76992226,-78.67571380
N237,21.923843,9.631752,35.76992226,-78.67573629
N238,19.415047,9.392819,35.76992011,-78.67576407
N239,17.025718,9.273353,35.76991904,-78.67579052
N240,14.516923,8.795487,35.76991474,-78.67581830
N241,11.649728,8.795487,35.76991474,-78.67585004
N242,9.260399,8.198156,35.76990938,-78.67587649
N243,7.110002,8.556555,35.76991260,-78.67590030
N244,4.123341,8.078689,35.76990831,-78.67593337
N245,2.211878,7.720290,35.76990509,-78.67595453
